Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0011002-001,uni-ucl-jud-0011002-001,"A treatise vpon John 8. 36. concerning Christian libertie. : The chiefe points whereof were deliuered in a sermon preached at Pauls Crosse, Nouemb. 6. 1608. By George Dovvname Doctor of Diuinitie.",George Downame Doctor of Divinity,"Downame, George, -1634.","George Downame,  -1634.",16090101,16091231,1609,"London: Felix Kyngston, 1609.",Felix Kyngston,London,England,"[4], 104 p. ; 18 cm.",STRONG ROOM MOCATTA 1609 D6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0015050-001,uni-ucl-jud-0015050-001,"Fla Iosephi De bello iudaico, Libri septem : De Antiquitatibus, contra Apionem Grammaticum, libri duo; et De Imperatrice Ratione, liber unus, in quo martyrium Machab{ae}oru[m] describitur /",Flavius Josephus,"Josephus, Flavius.",Flavius Josephus.,15280101,15281231,Anno MDXXVIII [1528].,"Lugduni: Sebastianus Gryphius, MDXXVIII. [1528]",Sebastianus Gryphius,Lyon,France,"[24], 605, [3] p. ; 18 cm.",STRONG ROOM MOCATTA 1528 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015056-001,uni-ucl-jud-0015056-001,"Giosefo : Nel qual si tratta delle guerra de Giudei las ossidion, è destruttion de Gierusale[m] dal uero esemplare latino nella uolgar lingua tradotto con gra[n] diligenza, è sommo studio nuouamente ristampato.",Giuseppe Flavio,"Josephus, Flavius.",Flavius Josephus.,15350101,15351231,Nel anno del Signore MDXXXV [1535].,"Veneggia: Vettor Piero Ravano, M. D. XXXV. [1535]",Vettor Piero Ravano,Venice,Italy,324 leaves ; 16 cm.,STRONG ROOM MOCATTA 1535 J6,University College London,"Special Collections, UCL Library",Italian,
uni-ucl-jud-0015059-001,uni-ucl-jud-0015059-001,"Fl. Iosephi De bello iudaico libri septem : eiusdem: Contra Apionem libri duo; de imperio rationis: sive, de Machab{ae}is liber unus.",Fl. Iosephi,"Josephus, Flavius.",Flavius Josephus.,15390101,15391231,1539,"Lugduni: Sebastianus Gryphius, M.D.XXXIX. [1539]",Sebastianus Gryphius,Lyon,France,"582, [11] p. ; 18 cm.",STRONG ROOM MOCATTA 1539 J6 (2),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015062-001,uni-ucl-jud-0015062-001,Li X ultimi libri di Giosefo de la antichita giudaiche.,Giosefo,"Josephus, Flavius.",Flavius Josephus.,15440101,15441231,MDXLIIII [1544].,"Vinegia: Vincenzo Vaugris, M.D. XLIIII. [1544]",Vincenzo Vaugris,Venice,Italy,287 leaves.,STRONG ROOM MOCATTA 1544 J6 (1),University College London,"Special Collections, UCL Library",Italian,
uni-ucl-jud-0033224-001,uni-ucl-jud-0033224-001,"Iosephvs Hebraicvs div desideratvs, et nvnc ex Constantinopolitano exemplari iuxta Hebraismum opera / : Sebastiani Munsteri uersus, & annotationibus atque collationibus illustratus ; continuat autem historias sacras à captiuitate Babylonica usq[ue] ad praesidem Pilatum.",Iosephus Hebraicus,"Hebraicus, Iosephus ",Iosephus Hebraicus.,15410101,15411231,1541,"Basileae: Henricum Petrum, Anno M.D.XLI. [1541]",Henricum Petrum,Basel,Switzerland,"[10], 178 p., [66] leaves ; 27 cm.",STRONG ROOM MOCATTA QUARTOS 1541 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0033255-001,uni-ucl-jud-0033255-001,"The famovs and memorable vvorkes of Iosephvs, a man of mvch honovr and learning among the Ievves. Faithfully translated out of the Latin, and French, by Tho. Lodge, Doctor in Physicke.",Josephus,"Josephus, Flavius.",Flavius Josephus.,16090101,16091231,1609,"Humfrey Lownes, 1609.",Humfrey Lownes,,,"[12], 554, [4], 522 [i.e. 555]-811, [29] p. ; 31 cm.",STRONG ROOM MOCATTA QUARTO 1609 J6 (2),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0050296-001,uni-ucl-jud-0050296-001,"De linguarum orientalium, : præsertim Hebraicæ, Chaldaicæ, Syriacæ, Arabicæ, & Samaritanæ præstantia, necessitate, & utilitate quam & theologis præstant & philosophis. Per G.B. Contenta in epistola dedicatoria fusius indicantur.",G. B.,"Beveridge, William, 1637-1708.","William Beveridge, 1637-1708.",16580101,16581231,1658,"Londini: Thomas Roycroft, 1658.",Thomas Roycroft,London,England,"[8], 26 [i.e. 38], [2] p. ; 18 cm.",STRONG ROOM MOCATTA 1658 B2/1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0050296-002,uni-ucl-jud-0050296-002,"[Syriac] = id est, Grammatica linguæ Domini nostri Jesu Christi, sive Grammatica Syriaca : tribus libris tradita, quorum primus vocum singularum proprietatem, secundus syntaxin, tertius figuras grammaticas & praxin continet. Omnibus adeo breviter & dilucide explicatis ut menstruo spatio (uti præfatione ad lectorem docetur) ipsa linguæ medulla exugatur. Opera & studio Gulielmi Beveridgii e Col. S. Johan. Cantabr. philolōttou. In usum bibliorum polyglōttutōn Waltoniensium.",Gulielmus Beveridgius,"Beveridge, William, 1637-1708.","William Beveridge, 1637-1708.",16580101,16581231,1658,"Londini: Thomas Roycroft, 1658.",Thomas Roycroft,London,England,"[8], 144 p. ; 18 cm.",STRONG ROOM MOCATTA 1658 B2/1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0057352-001,uni-ucl-jud-0057352-001,Antiquitatum Judaicarum Libri IX,Benedicto Aria Montano Hispalensi,Benedicto Aria Montano Hispalensi,Benedicto Aria Montano Hispalensi,15930101,15931231,1593,"Lugduni Batavorum: Ex Officina Plantiniana, CIO ID XCIII. [1593]",Franciscus Raphelengius,Leiden,Netherlands,,SC TEMP 2024/118,University College London,"Special Collections, UCL Library",Latin,
