Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0015259-001,uni-ucl-jud-0015259-001,Flauij Josephi des Hochberühmten Jüdischen Geschichtschreibers Historien vnd Bücher : Von alten Jüdischen Geschichten zwentzig sambt eynem von seinem Leben: Vom Jüdischen Krieg vnd der Statt Jerusalem vnd des gantzen Lands zerstörung siben: Von der Juden altem Herkommen wider Apionem Grammaticum zwey: Von Meysterschafft der Vernunfft vnd der Machabeer Marter eyns /,Flavii Josephi,"Josephus, Flavius.","Flavius, Josephus.",15780101,15781231,MDLXXVIII [1578]].,"Strasburg: Theodosius Rihel, MDLXXVIII. [1578]",Theodosius Rihel,Strasbourg,France,"[10], 524, [40] p. : ill. ; 34 cm.",STRONG ROOM MOCATTA FOLIO 1578 J6 1 / 2,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0015259-002,uni-ucl-jud-0015259-002,"Histoire de Fl. Iosephe sacrificateur Hebrieu : mise en Francois, reueuë sur le Grec, & illustree de chronologie, figures, annotations, & tables, tant des chapitres, que des principales matieres /",Flavii Josephi,"Josephus, Flavius.","Flavius, Josephus.",15780101,15781231,MDLXXVIII [1578].,"Strasburg: Theodosius Rihel, MDLXXVIII. [1578]",Theodosius Rihel,Strasbourg,France,"[5], 118, [5] leaves : ill. ; 33 cm.",STRONG ROOM MOCATTA FOLIO 1578 J6 1 / 2,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0033207-001,uni-ucl-jud-0033207-001,"Aegesippi historiographi fidelissimi ac disertissimi et inter Christianos antiquissimi historia : historia de bello Iudaico, sceptri sublatione, Iudaeorum dispersione, et Hierosolimitano excidio /",Aegessippi Hishue-Judai,"Hishue-Judai, Aegessippi.","Aegessippi, Hishue-Judai.",15110101,15111231,[1511].,"Petrus Liechtenstein, 1511.",Peter Liechtenstein,,,"[4], lxxvii, [5] leaves ; 28 cm.",STRONG ROOM MOCATTA QUARTO 1511 H2,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015263-001,uni-ucl-jud-0015263-001,Flauij Josephi des Hochberühmten Jüdischen Geschichtschreibers Historien vnd Bücher : von alten Jüdischen Geschichten zwentzig sambt eynem von seinem Leben: Vom Jüdischen Krieg vnd der Statt Ierusalem vnd des gantzen Lands zerstörung siben: Von der Juden altem Herkommen wider Apionem Grammaticum zwey: Von Meysterschafft der Vernunfft vnd der Machabeer Marter eyns. Alles auss dem Griechischen Exemplar samt aller Bücher vnd Capitel Summarischer Inhalt mit höchstem fleiss von newem verteutscht vnd zugerichtet darzu mit Biblischen Concordantzen Iarrechnung ordenlichem Register vnd schönen Figuren dessgleichen vorhin im Truck nie aussgangen gezieret.,Flavii Josephi,"Josephus, Flavius.","Flavius, Josephus.",15920101,15921231,MDXCII [1592]].,"Strasburg: Theodosius Rihel, MDXCII. [1592]",Theodosius Rihel,Strasbourg,France,"[10], 524, [40] p. : ill. ; 35 cm.",STRONG ROOM MOCATTA FOLIO 1592 J6 (1),University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0113175-001,uni-ucl-jud-0113175-001,Der neü Layenspiegel vo rechtmässigen ordnungen in Burgerlichen und peinlichen Regimenten : mit Addition. Auch der Güldin Bulla. Künigklich Reformation landtfriden. Auch Bewärung gemainer recht und anderm Antzaigen.,Vdalrici Tengrler,"Tengler, Ulrich.","Ulrich, Tengler.",15180101,15181231,Anno MCCCCCxviij [1518].,Strasburg:  MCCCCCXVIII. [1518],,Strasbourg,France,[16] p. : ill. (woodcuts) ; 31 cm.,STRONG ROOM MOCATTA QUARTO 1518 T2,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0130423-001,uni-ucl-jud-0130423-001,"Mafteaḥ leshon ha-ḳodesh that is The key of the holy tongue : wherein is conteineid, first the Hebrue grammar (in a manner) woord for woord out of P. Martinius. Secondly, a practize upon the first, the twentie fift, and the syxtie eyght Psalmes, according to the rules of the same grammar. Thirdly, a short dictionary conteining the Hebrue woords that are found in the Bible with their proper significations. All Englished for the benefit of those that (being ignoraunt in the Latin) are desirous to learn the holy tongue; by Iohn Udall.",P.Martinius,"Martinez, Pierre, -1594.","Pierre, Martinez,, -1594.",15930101,15931231,MDXCIII [1593].,"Leyden: Francis Raphelengius, CIOIOCVIII. [1593]",Francis Raphelengius,Leiden,Netherlands,"204, [4], 98, [6], 174, [2] p. ; 16 cm.",STRONG ROOM MOCATTA 1593 M1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130457-001,uni-ucl-jud-0130457-001,"The booke of Psalmes, : collected into English meetre, by Thomas Sternhold, Iohn Hopkins and others: conferred with the Hebrew, with apt notes to sing them withall. Set forth and allowed to be sung in all churches, of all the people together before and after morning and euening prayer: as also before and after sermons, and moreouer in priuate houses, for their godly solace and comfort, laying apart all vngodly songs and ballads, which tend only to the nourishment of vice, and corrupting of youth.","Thomas Sternhold, John","Thomas Sternhold, John","John, Thomas Sternhold",16120101,16121231,1612?].,1612,,,,"[11], 115, [10] p. : music ; 22 cm.",STRONG ROOM MOCATTA 1612 B4/1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130547-001,uni-ucl-jud-0130547-001,"To His Highnesse the Lord Protector of the Common-wealth of England, Scotland, and Ireland. The humble addresses of Menasseh Ben Israel, a divine, and doctor of physick, in behalfe of the Jewish nation.",Menasseh Ben Isreal,"Manasseh ben Israel, 1604-1657.","Israel,Manasseh ben 1604-1657.",16550101,16551231,1655.].,London: 1655.,,London,England,"[8], 26 p. ; 19 cm.",STRONG ROOM MOCATTA 1655 M1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130597-001,uni-ucl-jud-0130597-001,"The present state of the Jews : (more particularly relating to those in Barbary.) Wherein is contained an exact account of their customs, secular and religious. To which is annexed a summary discourse of the Misna, Talmud, and Gemara. By L. Addison, one of his Majesties chaplains in ordinary; and the author of the late revolutions and present customs of the kingdoms of Fez and Morocco.",L. Addison,"Addison, Lancelot, 1632-1703.","Lancelot, Addison, 1632-1703.",16750101,16751231,1675,"London: John Courtney, 1675.",Willam Crooke,London,England,"[8], 249, [7] p., : plate [frontis.] ; 18 cm.",STRONG ROOM MOCATTA 1675 A2 (1),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0015237-001,uni-ucl-jud-0015237-001,"Quae in hoc uolumine continentur haec sunt : Periocha uiginti libror[um] Antiquitatis iudaciae, ab ipso Flauio Iosippo composita, quo lector fine ullo inquisitionis labore admonetur, quid in singulis libris contineatur : Periocha altera librorum septem de Bello iudaico, contine[ate]s breuem singulorum libroru[m], & capitu[m] adnotationem : Defensio ipsius historiae de Antiq[ue]tate iudaica aduersus Appionem Gra[m]maticum Alexandrinu[m], in qua ostenditur historie[m] ipsius ueritas cu[m] maxima authoris eruditione : Accedit Egisippi de Bello similiter Iudaico elega[n]tissima narratio. Ex quibus operibus praeter ipsaru[m] rerum synceram expositio[n]em licebit tibi lector facile intueri, facundissimos hos uiros copia & reru[m] & uerboru[m] Liuio inferiores non existere.",Josephus,"Josephus, Flavius.","Flavius, Josephus.",15130101,15131231,Anne a Salvatoris nostrinata LI. MDXIIII. die X. Ianuarii[ -MDXIII] [1513-1514].,"Mediolani: Alexandrum Minutianum, MDXIII. [1513]",Alexander Minutius,Milan,Italy,"[18], ccxxvi, cxvi, lxxxi, [1] leaves ; 35 cm.",STRONG ROOM MOCATTA FOLIO 1513-14 J6 (2),University College London,"Special Collections, UCL Library",Latin,
