Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0015058-001,uni-ucl-jud-0015058-001,Iosephi De antiquitatibus iudaeorum libri X posteriores.,Iosephi,"Josephus, Flavius.",Flavius Josephus,15390101,15391231,1539,"Lugduni: Apud Seb. Gryphium, 1539.",Apud Seb. Gryphium,Lyon,France,526 p. ; 17 cm.,STRONG ROOM MOCATTA 1539 J6 (1),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0033240-001,uni-ucl-jud-0033240-001,"[The auncient ecclesiasticall histories of the first six hundred yeares after Christ, : written in the Greeke tongue by three learned historiographers, Eusebius, Socrates, and Euagrius. Eusebius Pamphilus Bishop of Cæsarea in Palæstina vvrote 10. bookes. Socrates Scholasticus of Constantinople vvrote 7. bookes. Euagrius Scholasticus of Antioch vvrote 6. bookes. VVherevnto is annexed Dorotheus Bishop of Tyrus, of the liues and endes of the prophetes, apostles and 70. disciples. All which authors are faithfully translated out of the Greeke tongue and now perused and corrected by Meredith Hanmer, Doctor of Diuinitie. Last of all herein is contained a briefe chronographie collected by the said translator, with a copious index of the principall matters throughout all the histories.]",Dorotheus bishop of Tyrus,"Eusebius, of Caesarea, Bishop of Caesarea, approximately 260-approximately 340.","Eusebius, of Caesarea, Bishop of Caesarea, approximately 260-approximately 340.",15850101,15851231,1585,"London: Thomas Vautrollier, 1585.",Thomas Vautrollier,London,England,pp. 513-540 ; 28 cm.,STRONG ROOM MOCATTA QUARTO 1585 E8,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130409-001,uni-ucl-jud-0130409-001,"Di Flavio Giuseppe, della guerra de'giudei. : Libri vii. Libri due contra Apione; e dell'imperio della ragione; /",Flavio Giuseppe,"Josephus, Flavius.",Flavius Josephus,15820101,15821231,MDCLXXXII [1582].,"Vinegia: Gio. et Gio. Paolo Gioliti de' Ferrari, MDLXXXII. [1582]",Gio. et Gio. Paolo Gioliti de' Ferrari,Venice,Italy,"[16], 525, [1] p. ; 20 cm.",STRONG ROOM MOCATTA 1582 J6 (2),University College London,"Special Collections, UCL Library",Italian,
uni-ucl-jud-0130414-001,uni-ucl-jud-0130414-001,"Gioseffo Flavio historico, delle antichità, e guerra giudaiche : nuoamente raccolte tutte insieme e da molti errore emendate, & con molta diligenza stampate. Con due tavole, una dei capitoli, & l'altra delle cose notabili, accio il lettore possi ritrovar i luoghi da lui desiderata.",Gioseffo Flavio Historico,"Josephus, Flavius.",Flavius Josephus,15890101,15891231,1589,"Venetia: Appresso Giovanni Giolito, 1589.",Appresso Giovanni Giolito,Venice,Italy,"[vii], 154, [1], 180, 151, [1] leaves ; 21 cm.",STRONG ROOM MOCATTA 1589 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130415-001,uni-ucl-jud-0130415-001,"Opera Iosephi Iudaeorum doctissimi ac disertissimi qvae ad nostram aetatem pervenerunt, omnia, nimirum : de antiqvitatibvs Ivdaicis libri XX. quibus vita Iosephi per ipsum conscripta, est adiecta: De bello Iudaico VII. Contra apionem II. De imperio rationis, siue de Macchabaeis I. Antehac in Latinum sermonem translata, & ad exemplum Graeci codicis accurate distincta. Nvnc vero chronologia ad capvt vniuscuius[que] folij, cum ex veterum tum recentiorum scriptorum commentarijs, cumq ; scholijs necessarijs, recens concinnata. Cvm indice locvpletissimo.",Iosephi,"Josephus, Flavius.",Flavius Josephus,15900101,15901231,1590,"Francofurti ad Moenum: Petrum Fabricium, impensis Sigismundi Feyerabendij, M.D.LXXXVIII. [1588]","Petrum Fabricium, impensis Sigismundi Feyerabendij",Frankfurt am Main,Germany,"[4], 481, [34] leaves ; 19 cm.",STRONG ROOM MOCATTA 1590 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130418-001,uni-ucl-jud-0130418-001,"The perpetual gouernement of Christes Church. Wherein are handled; the fatherly superioritie which God first established in the patriarkes for the guiding of his Church, and after continued in the tribe of Leui and the prophetes; and lastlie confirmed in the New Testamen to the Apostles and their successours: as also the points in question at this day; touching the Iewish Synedrion: the true kingdome of Christ: the Apostles commission: the laie presbyterie: the distinction of bishops from presbyters, and their succcssion [sic] from the Apostles times and hands: the calling and moderating of prouinciall synodes by primates and metropolitanes: the alloting of diœceses, and the popular electing of such as must feed and watch the flocke: and diuers other points concerning the pastorall regiment of the house of God; by Tho. Bilson Warden of Winchester Colledge. Perused and allowed by publike authoritie.",Tho. Bilson,"Bilson, Thomas, 1546 or 1547-1616.","Thomas, Bilson, 1546 or 1547-1616.",15930101,15931231,An. Dom. 1593.,"London: the Deputies of Christopher Barker, 1593.",the Deputies of Christopher Barker,London,England,"[28], 414, [2] p. 19 cm.",STRONG ROOM MOCATTA 1593 B4,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130430-001,uni-ucl-jud-0130430-001,Flavii Iosephi viri inter Iudæos clarissimi Opera omnia quæ extant ex Græcorum codicum accurata collatione Latina expressa : Opera in tomos duos distributum /,Flavii Iosephi,"Josephus, Flavius.",Flavius Josephus,15950101,15951231,MDXCV [1595].,"Iacobus Stoer, M.D.XCV. [1595]",Iacobus Stoer,,,"571, [52] p. ; 12 cm.",STRONG ROOM MOCATTA 1595 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130462-001,uni-ucl-jud-0130462-001,"A compendious and most maruellous historie of the latter times of the Iewes common-weale. : Beginning where the Bible, or Scriptures leaue, and continuing to the vtter subuersion, and last destruction of that countrie and people. Written in Hebrew by Ioseph Ben Gorion, a nobleman of the same countrey, who saw the most things himselfe, and was the author and doer of a greater part of the same. Translated into English, by Peter Morvvyn, of Magdalen Colledge in Oxford: And now newly corrected and amended by the said translator.",Joseph Ben Gorion,"Gorion, Joseph Ben",Joseph Ben Gorion,16150101,16151231,1615,"London: Thomas Adams, 1615.",Thomas Adams,London,England,"[8], 435 [i.e. 437], [1] p. ; 15 cm.",STRONG ROOM MOCATTA 1615 J6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130472-001,uni-ucl-jud-0130472-001,"The calling of the Ievves. : A present to Iudah and the children of Israel that ioyned with him, and to Ioseph (the valiant tribe of Ephraim) and all the house of Israel that ioyned with him. The Lord give them grace, that they returne and seeke Iehovah their God, and David their King, in these latter dayes. There is prefixed an Epistle unto them, written for their sake in the Hebrue tongue, and translated into English. Published by William Gouge, B. of D. and Preacher of Gods word in Blacke fryers. London.",Sir Henry Finch,"Finch, Henry, Sir, -1625.","Henry, Finch, Sir, -1625.",16210101,16211231,1621,"London: William Bladen, 1621.",Edvvard Griffin,London,England,"[11], 234, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1621 F4 (3),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130491-001,uni-ucl-jud-0130491-001,"Manasseh Ben-Israel De creatione problemata XXX : cum summariis singulorum problematum, & indice locorum scripturae, quae hoc opere explicantur.",Menasseh Ben-Israel,"Manasseh ben Israel, 1604-1657.","Manasseh ben Israel, 1604-1657.",16350101,16351231,MDCXXXV [1635].,"Amstelodami: Typis & sumptibus Auctoris, CIC IC XXXV. [1635]",Typis & sumptibus Auctoris,Amsterdam,Natherlands,"[16], 156, [2] p. ; 14 cm.",STRONG ROOM MOCATTA 1635 M1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130494-001,uni-ucl-jud-0130494-001,The history of the Sabbath. : In two bookes. By Pet. Heylyn.,Pet. Heylyn,"Heylyn, Peter, 1600-1662.","Peter, Heylyn, 1600-1662.",16360101,16361231,1636,"London: Henry Seile, 1636.",Henry Seile,London,England,"[38], 179, [7], 31, 36-192, 209-271, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1636 H2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130496-001,uni-ucl-jud-0130496-001,"Nova et methodica, institutio linguæ Hebraeæ & Chaldae : in qua, fundamenta firma lectionis, formationis, punctationis & mutationis, proponuntur et anomala ad analoga revocantur : vsui eorum, quibus fontes Israelis plenè intelligere, et ex illis limipidissimas aquas hautire, curæ cordiq, est, accommodata.",Victorini Bythneri,"Bythner, Victorinus, 1605?-1670?.","Victorinus Bythner, 1605?-1670?.",16350101,16351231,[1635.].,"Londini: Typis Gulielmi Iones, 1635.",Typis Gulielmi Iones,London,England,"[9], 52, [3], 15, [1] p. ; 17 cm.",STRONG ROOM MOCATTA 1635 B9/1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130496-002,uni-ucl-jud-0130496-002,Praegramma Vocae Hebrae,Victorini Bythneri,"Bythneri, Victorini",Victorini Bythneri,16350101,16351231,1635,"Londini: Typis Gulielmi Iones, Anno Christi 1635.",Typis Gulielmi Iones,London,England,,,University College London,"Special Collections, UCL Library",Latin & Hebrew,
uni-ucl-jud-0130496-003,uni-ucl-jud-0130496-003,"Catecheticæ versiones variæ. : Sive, Catechismus communis quadrilinguis, tam prosâ quàm carmine: Hebraice, Græce, Latine, & Anglice. In Tyronum gratiam descriptus. The common catechisme in foure languages.",Anonymous,Anonymous,Anonymous,16380101,16381231,1638,"London: the Company of Stationers, 1638.",M.F.,London,England,[64] p. ; 17 cm.,STRONG ROOM MOCATTA 1635 B9/3,University College London,"Special Collections, UCL Library",Multiple,
uni-ucl-jud-0130497-001,uni-ucl-jud-0130497-001,"A treatise of the foure degenerate sonnes, : viz. the atheist the magician the idolater· and the Iew. VVherein are handled many profitable questions concerning atheisme, witchcraft, idolatry, and Iudaisme: and sundry places of Scripture, cleared out of the originall tongues. Being the fourth volume, of the Workes of Mr. Ioh. Weemse of Lathocker in Scotland, and Prebend of Dunelm.",M. Io. Weemse,"Weemes, John, 1579?-1636.","John, Weemes, 1579?-1636.",16360101,16361231,1636,"London: John Bellamie, 1636.",Thomas Cotes,London,England,"[26], 382, [4] p. ; 22 cm.",STRONG ROOM MOCATTA 1636 W2 (1),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130503-001,uni-ucl-jud-0130503-001,"The vvandering-Jew, telling fortunes to English-men.","Gad Ben-arod Ben Balaam, Ben-Ahimoth, Ben-Baal, Ben-Gog, Ben-Magog","Gad ben-Arod, ben-Balaam, ben-Ahimoth, ben-Baal, ben-Gog, ben-Magog.","Gad ben-Arod, ben-Balaam, ben-Ahimoth, ben-Baal, ben-Gog, ben-Magog.",16400101,16401231,1640,"London: Nathaniel Butter, 1640.",John Raworth,London,England,"[6], 67, [1] p. ; 17 cm.",STRONG ROOM MOCATTA 1640 G1,University College London,"Special Collections, UCL Library",English,
